x,216326,5426,11977753,57469,5394,24856436,42611257,24964624,5311,11960529,387447
DDR1,-0.01275,-0.14115,0.6897,-0.14829999,0.7038,-0.431,0.94085,-0.76005,-1.80305,-0.21449998,-1.36875
PAX8,-0.80474997,1.2592,1.911,-0.19834998,0.7803,-0.5071,0.83645,-0.41799998,-0.66335,1.0541,1.20835
RPS5,2.4001,1.7255499,-1.5604999,-0.030699998,0.1224,0.3781,-0.354,-0.58959997,0.80195,-0.29729998,0.62090003
ABCF1,0.31045,-0.23049998,-0.24195,-0.24195,0.47894996,0.1004,-2.45455,-0.9662,-0.8414,0.00940001,1.1703
SPAG7,0.39475,0.20030001,-2.61435,0.6566,-0.74189997,0.3001,0.0828,-0.41515,-2.3408,0.16110003,0.18470001
RHOA,-0.8596,0.8519,-1.2251,0.21985,0.65970004,-0.4136,-1.4576501,-0.9852,0.63600004,-0.4325,1.5327
RNPS1,-0.333,0.4506,-0.1429,-0.95875,0.13769999,-0.9341,-0.36979997,0.16084999,-0.4535,0.6745,-0.86885
SMNDC1,-0.76355004,0.31870002,-1.6694499,0.21755,-0.66705,0.2689,-2.3342,0.4253,-3.33185,1.43415,1.87655
ATP6V0B,-0.76335,0.89875,-1.4093001,0.3741,-1.13165,-1.1002,-2.6216002,-0.15034999,-0.4041,0.051700056,-0.033749998
RPS6,0.98635,0.38210005,2.41075,0.0968,0.33725,-1.9722,-0.93115,-0.24045,0.66955006,-1.1031,0.671
USP22,-0.5451,1.6309,0.81420004,0.26839998,-0.3775,0.0711,-1.56815,0.3339,-3.50695,-0.5377,-0.488
APP,0.2539,-0.71475,-1.1067001,-0.12835,-0.88475,-1.4707,0.4768,0.4818,-1.5118499,0.4818,-0.095750004
CLTC,-1.1132,0.95089996,-1.31565,-0.5389,0.79245,-0.3829,-2.68925,-0.13505,0.036999997,-0.12905,1.17535
MLEC,-0.09995,0.7333,-1.88665,0.008899987,0.569,0.5789,0.43085003,-0.22590001,2.31755,0.16084999,-0.43744996
CSRP1,-0.7666,1.46895,-0.26205,0.15715,0.29645002,-0.1777,-1.22805,0.6846,2.40725,1.4745001,-1.9433
CALM3,0.13485,-1.252,0.95825005,-0.3419,0.04734999,0.0545,2.1769,0.2139,-1.03775,0.48945,-0.30165
