x,11977753,5394,24856436,24964624,5311,11960529,387447
DDR1,0.335,0.39695,0.4524,-0.38204998,-0.6998,-0.48245,-0.7442
PAX8,1.4449999,0.30879998,-0.54585,1.4346,-0.9363499,0.27754998,-0.35079998
RPS5,1.3110499,0.30395,-0.06685001,0.7662,-0.04030001,1.5474,-0.563
ABCF1,0.628,-0.6638,0.11585,-0.06944999,-0.4799,-0.34645,0.42175
SPAG7,0.833,-0.007799998,1.4037,-0.6877,-2.0012,-0.57194996,-0.16439998
RHOA,-0.50119996,0.22175002,-1.46065,-0.80120003,1.1781,0.047450006,-0.19645
RNPS1,0.33745,0.338,0.3376,-0.98825,-0.69685,0.338,-1.53795
SMNDC1,-0.2403,-1.5526,-1.3648,0.4467,-2.4189,0.4576,1.1559501
ATP6V0B,-1.2055999,-0.18955001,0.15255001,0.2753,0.77105,1.1215,1.7939
RPS6,0.00065,-0.00035,0.0,-0.26505,0.0,0.00035,0.00065
USP22,0.14635,-0.4721,-0.44959998,0.6127,-3.8557,0.6756,-0.13505
APP,-0.54605,-0.92045,0.2545,-0.1918,-1.2426,0.007650018,-0.1018
CLTC,-0.65040004,0.39830002,-0.5864,-0.38004997,-0.055299997,0.5106,0.28335
MLEC,-0.444,0.5185,0.14185,-0.73755,2.93345,0.37935,-0.33975
CSRP1,-3.1726,-0.22065002,0.82815003,0.20780003,-0.65970004,-10.0,1.20455
CALM3,0.86939996,-0.63215,0.15709999,0.6246,-0.2935,-0.80445,-0.91394997
PTPRF,1.119,-0.742,0.6431,0.2686,-0.36484998,-0.61715,-0.61109996
DNAJB1,-2.8456001,-0.23445,0.73364997,0.3872,-0.4142,-9.95325,1.2533
XBP1,-0.83805,0.3118,0.7558,-0.70115,-1.37035,0.2818,4.6495
GRN,0.86864996,0.3783,0.72830003,0.59575,1.10185,-0.049050003,0.40125
HK1,0.7645,0.5128,0.5306,-0.6407,1.12555,-0.5431,-0.5602
KDELR2,-0.68840003,0.4803,-0.55209994,-0.49670002,1.9340999,0.2967,0.90455
SKP1,-0.41905,0.5719,-0.76765,0.17615001,2.5949001,0.32154998,1.3386
CAPN1,0.47195002,0.35225004,1.4872999,-0.66929996,0.52355003,-0.45565,-1.25285
CALU,-0.41915,-0.46405,-0.6117,1.1503,2.3326,0.52905,0.59435
CTSD,-0.05145,0.65585,1.0566499,-1.03685,1.4239,-0.31755,2.1457
MAT2A,0.62679994,-0.40350002,-0.023449987,0.96645,-1.6686001,0.29320002,5.07495
STMN1,-0.2495,0.79865,-0.46315002,0.3515,0.086899996,0.74945,-0.5208
ECH1,-0.3865,0.17225,-1.1831,0.35635,-0.26905,-0.4291,-1.61745
IQGAP1,0.55550003,-0.4223,0.21384999,-0.3786,-0.09505,-0.842,-0.54585
HSPA1A,-0.5149,0.104200006,0.03485,-0.7873,-0.4271,0.067650005,10.0
HSPD1,-1.26055,-1.1385,-0.053400002,-0.24980001,0.24315,1.7755,2.96
CIRBP,-0.2424,0.2966,0.41375,1.08245,-2.4035,1.3205,-0.03729999
